Symbol,Name
321,ALAC,Alberton Acquisition Corporation Ordinary Shares
322,ALACR,Alberton Acquisition Corporation Rights exp April 26 2021
323,ALACW,Alberton Acquisition Corporation Warrant
324,ALB,Albemarle Corporation Common Stock
325,ALBO,Albireo Pharma Inc. Common Stock
326,ALC,Alcon Inc. Ordinary Shares
327,ALCC,AltC Acquisition Corp. Class A Common Stock
328,ALCO,Alico Inc. Common Stock
329,ALDX,Aldeyra Therapeutics Inc. Common Stock
330,ALE,Allete Inc.
331,ALEC,Alector Inc. Common Stock
332,ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company
333,ALF,ALFI Inc. Common Stock
334,ALFIW,ALFI Inc. Warrant
335,ALG,Alamo Group Inc. Common Stock
336,ALGM,Allegro MicroSystems Inc. Common Stock
337,ALGN,Align Technology Inc. Common Stock
338,ALGS,Aligos Therapeutics Inc. Common Stock
339,ALGT,Allegiant Travel Company Common Stock
340,ALHC,Alignment Healthcare Inc. Common Stock
341,ALIM,Alimera Sciences Inc. Common Stock
342,ALIN^A,Altera Infrastructure L.P. 7.25% Series A 
343,ALIN^B,Altera Infrastructure L.P. 8.50% Series B 
344,ALIN^E,Altera Infrastructure L.P. 8.875% Series E 
345,ALIT,Alight Inc. Class A Common Stock
346,ALJJ,ALJ Regional Holdings Inc. Common Stock
347,ALK,Alaska Air Group Inc. Common Stock
348,ALKS,Alkermes plc Ordinary Shares
349,ALKT,Alkami Technology Inc. Common Stock
350,ALL,Allstate Corporation (The) Common Stock
351,ALL^B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053
352,ALL^G,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series G
353,ALL^H,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H
354,ALL^I,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I
355,ALLE,Allegion plc Ordinary Shares
356,ALLK,Allakos Inc. Common Stock
357,ALLO,Allogene Therapeutics Inc. Common Stock
358,ALLR,Allarity Therapeutics Inc. Common Stock
359,ALLT,Allot Ltd. Ordinary Shares
360,ALLY,Ally Financial Inc. Common Stock
361,ALNA,Allena Pharmaceuticals Inc. Common Stock
362,ALNY,Alnylam Pharmaceuticals Inc. Common Stock
363,ALORU,ALSP Orchid Acquisition Corporation I Unit
364,ALOT,AstroNova Inc. Common Stock
365,ALP^Q,Alabama Power Company 5.00% Class A Preferred Stock Cumulative Par Value $1 Per Share (Stated Capital $25 Per Share)
366,ALPAU,Alpha Healthcare Acquisition Corp. III Units
367,ALPAW,Alpha Healthcare Acquisition Corp. III Warrant
368,ALPN,Alpine Immune Sciences Inc. Common Stock
369,ALPP,Alpine 4 Holdings Inc. Class A Common Stock
370,ALRM,Alarm.com Holdings Inc. Common Stock
371,ALRN,Aileron Therapeutics Inc. Common Stock
372,ALRS,Alerus Financial Corporation Common Stock
373,ALSAU,Alpha Star Acquisition Corporation Units
374,ALSN,Allison Transmission Holdings Inc. Common Stock
375,ALT,Altimmune Inc. Common Stock
376,ALTG,Alta Equipment Group Inc. Class A Common Stock
377,ALTG^A,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock)
378,ALTM,Altus Midstream Company Class A Common Stock
379,ALTO,Alto Ingredients Inc. Common Stock
380,ALTR,Altair Engineering Inc. Class A Common Stock
381,ALTU,Altitude Acquisition Corp. Class A Common Stock
382,ALTUU,Altitude Acquisition Corp. Unit
383,ALTUW,Altitude Acquisition Corp. Warrant
384,ALV,Autoliv Inc. Common Stock
385,ALVR,AlloVir Inc. Common Stock
386,ALX,Alexander's Inc. Common Stock
387,ALXO,ALX Oncology Holdings Inc. Common Stock
388,ALYA,Alithya Group inc. Class A Subordinate Voting Shares
389,ALZN,Alzamend Neuro Inc. Common Stock
390,AM,Antero Midstream Corporation Common Stock
391,AMAL,Amalgamated Financial Corp. Common Stock (DE)
392,AMAM,Ambrx Biopharma Inc. American Depositary Shares (each representing seven Ordinary Shares)
393,AMAO,American Acquisition Opportunity Inc. Class A Common Stock
394,AMAT,Applied Materials Inc. Common Stock
395,AMBA,Ambarella Inc. Ordinary Shares
396,AMBC,Ambac Financial Group Inc. Common Stock
397,AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares
398,AMBP,Ardagh Metal Packaging S.A. Ordinary Shares
399,AMC,AMC Entertainment Holdings Inc. Class A Common Stock
400,AMCI,AMCI Acquisition Corp. II Class A Common Stock
401,AMCIU,AMCI Acquisition Corp. II Units
402,AMCR,Amcor plc Ordinary Shares
403,AMCX,AMC Networks Inc. Class A Common Stock
404,AMD,Advanced Micro Devices Inc. Common Stock
405,AME,AMETEK Inc.
406,AMED,Amedisys Inc Common Stock
407,AMEH,Apollo Medical Holdings Inc. Common Stock
408,AMG,Affiliated Managers Group Inc. Common Stock
409,AMGN,Amgen Inc. Common Stock
410,AMH,American Homes 4 Rent Common Shares of Beneficial Interest
411,AMH^F,American Homes 4 Rent 5.875% Series F Cumulative Redeemable Perpetual Preferred Shares
412,AMH^G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest
413,AMH^H,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest
414,AMK,AssetMark Financial Holdings Inc. Common Stock
415,AMKR,Amkor Technology Inc. Common Stock
416,AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc
417,AMNB,American National Bankshares Inc. Common Stock
418,AMOT,Allied Motion Technologies Inc.
419,AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares
420,AMP,Ameriprise Financial Inc. Common Stock
421,AMPE,Ampio Pharmaceuticals Inc.
422,AMPG,Amplitech Group Inc. Common Stock
423,AMPGW,Amplitech Group Inc. Warrants
424,AMPH,Amphastar Pharmaceuticals Inc. Common Stock
425,AMPI,Advanced Merger Partners Inc. Class A Common Stock
426,AMPL,Amplitude Inc. Class A Common Stock
427,AMPS,Altus Power Inc. Class A Common Stock
428,AMPY,Amplify Energy Corp. Common Stock
429,AMR,Alpha Metallurgical Resources Inc. Common Stock
430,AMRC,Ameresco Inc. Class A Common Stock
431,AMRK,A-Mark Precious Metals Inc. Common Stock
432,AMRN,Amarin Corporation plc
433,AMRS,Amyris Inc. Common Stock
434,AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock
435,AMS,American Shared Hospital Services Common Stock
436,AMSC,American Superconductor Corporation Common Stock
437,AMSF,AMERISAFE Inc. Common Stock
438,AMST,Amesite Inc. Common Stock
439,AMSWA,American Software Inc. Class A Common Stock
440,AMT,American Tower Corporation (REIT) Common Stock
441,AMTB,Amerant Bancorp Inc. Class A Common Stock
442,AMTI,Applied Molecular Transport Inc. Common Stock
443,AMTX,Aemetis Inc. (DE) Common Stock
444,AMWD,American Woodmark Corporation Common Stock
445,AMWL,American Well Corporation Class A Common Stock
446,AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L
447,AMYT,Amryt Pharma plc American Depositary Shares
448,AMZN,Amazon.com Inc. Common Stock
449,AN,AutoNation Inc. Common Stock
450,ANAB,AnaptysBio Inc. Common Stock
451,ANAC,Arctos NorthStar Acquisition Corp. Class A Ordinary Shares
452,ANAT,American National Group Inc. Common Stock
453,ANDE,Andersons Inc. (The) Common Stock
454,ANEB,Anebulo Pharmaceuticals Inc. Common Stock
455,ANET,Arista Networks Inc. Common Stock
456,ANF,Abercrombie & Fitch Company Common Stock
457,ANGI,Angi Inc. Class A Common Stock
458,ANGN,Angion Biomedica Corp. Common Stock
459,ANGO,AngioDynamics Inc. Common Stock
460,ANIK,Anika Therapeutics Inc. Common Stock
461,ANIP,ANI Pharmaceuticals Inc.
462,ANIX,Anixa Biosciences Inc. Common Stock
463,ANNX,Annexon Inc. Common Stock
464,ANPC,AnPac Bio-Medical Science Co. Ltd. American Depositary Shares
465,ANSS,ANSYS Inc. Common Stock
466,ANTE,AirNet Technology Inc. American Depositary Shares
467,ANTM,Anthem Inc. Common Stock
468,ANVS,Annovis Bio Inc. Common Stock
469,ANY,Sphere 3D Corp. Common Shares
470,ANZU,Anzu Special Acquisition Corp I Class A Common Stock
471,ANZUU,Anzu Special Acquisition Corp I Units
472,ANZUW,Anzu Special Acquisition Corp I Warrant
473,AOD,Aberdeen Total Dynamic Dividend Fund Common Stock
474,AOMR,Angel Oak Mortgage Inc. Common Stock
475,AON,Aon plc Class A Ordinary Shares (Ireland)
476,AOS,A.O. Smith Corporation Common Stock
477,AOSL,Alpha and Omega Semiconductor Limited Common Shares
